chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant
59871.0,0,0,0.24791666666666665,0.14583333333333331,0.37916666666666665,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 4, 'score': 0.45}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
59926.0,0,0,0.0861111111111111,0.041666666666666664,0.16666666666666666,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1
59969.0,0,0,0.2125,0.10416666666666666,0.32499999999999996,0.0,4,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 9, 'n_positive': 3, 'score': 0.35}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
379991.0,0,0,0.26666666666666666,0.05000000000000001,0.5,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
40150.0,0,0,0.23055555555555554,0.041666666666666664,0.5,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
59920.0,0,0,0.3458333333333333,0.09999999999999999,0.6875,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 2, 'score': 0.8333333333333334}}",1,1
337446.0,0,0,0.21296296296296294,0.05555555555555555,0.4166666666666667,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 2, 'score': 0.4166666666666667}, 'GENERAL': {'n_tested': 8, 'n_positive': 0, 'score': 0.05555555555555555}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
59919.0,0,0,0.17708333333333331,0.13541666666666666,0.22916666666666666,0.0,4,"{'NEURO': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
382620.0,0,0,0.34027777777777773,0.08333333333333333,0.75,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 7, 'n_positive': 1, 'score': 0.1875}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1
27831.0,0,0,0.225,0.075,0.4,0.0,4,"{'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
892442.0,0,0,0.151010101010101,0.13636363636363635,0.16666666666666666,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
44969.0,0,0,0.35555555555555557,0.15,0.75,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1
59832.0,0,0,0.40404040404040403,0.04545454545454545,0.75,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 2, 'score': 0.4166666666666667}, 'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1
27140.0,0,0,0.26704545454545453,0.25,0.30113636363636365,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 10, 'n_positive': 3, 'score': 0.3181818181818182}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2
59927.0,0,0,0.19053030303030302,0.07575757575757576,0.275,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 1, 'score': 0.3}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
37708.0,0,0,0.2522785039941903,0.08511256354393609,0.5049019607843138,0.0,6,"{'GENERAL': {'n_tested': 107, 'n_positive': 5, 'score': 0.05092592592592592}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 220, 'n_positive': 6, 'score': 0.029411764705882353}, 'MET': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'SR': {'n_tested': 2, 'n_positive': 2, 'score': 0.8333333333333334}}",1,1
381090.0,0,0,0.16136363636363638,0.07272727272727272,0.25,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
61881.0,0,0,0.23888888888888885,0.16666666666666666,0.3,0.0,3,"{'GENERAL': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 1, 'score': 0.3}}",1,1
51419.0,0,0,0.20833333333333334,0.125,0.25,0.0,3,"{'GENERAL': {'n_tested': 3, 'n_positive': 0, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
59799.0,0,0,0.3416666666666666,0.15,0.5,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 4, 'score': 0.375}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
30030.0,0,0,0.32291666666666663,0.20833333333333331,0.4375,0.0,4,"{'NEURO': {'n_tested': 3, 'n_positive': 1, 'score': 0.375}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2
378880.0,0,0,0.24659090909090908,0.11818181818181817,0.40909090909090906,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
59828.0,0,0,0.15208333333333332,0.07291666666666666,0.225,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
62122.0,0,0,0.24545454545454545,0.10000000000000002,0.5,0.0,3,"{'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
400587.0,0,0,0.23011363636363635,0.08522727272727273,0.40625,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 3, 'n_positive': 0, 'score': 0.125}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
892417.0,0,0,0.2462121212121212,0.18749999999999997,0.3011363636363636,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 3, 'score': 0.3181818181818182}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2
880134.0,0,0,0.13434343434343435,0.10000000000000002,0.16666666666666666,0.0,3,"{'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
67331.0,0,0,0.21458333333333335,0.175,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 2, 'score': 0.20833333333333334}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2
190950.0,0,0,0.17291666666666666,0.09375,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
881157.0,0,0,0.15208333333333332,0.07291666666666666,0.225,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
868151.0,0,0,0.203125,0.109375,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 7, 'n_positive': 0, 'score': 0.0625}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
74915.0,0,0,0.14791666666666667,0.07916666666666666,0.21875,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
276659.0,0,0,0.17575757575757575,0.1431818181818182,0.225,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
