CAS_NORM,POD_MGKGDAY,PUBCHEM_CID,S_global,S_potency
61-82-5,40.0,1639,0.9727146111810844,2.3937413334160365
61-82-5,40.0,1639,0.9727146111810844,2.3937413334160365
140-11-4,35.0,8785,0.9829657883453576,2.910864268102795
140-11-4,35.0,8785,0.9829657883453576,2.910864268102795
58-08-2,6.0,2519,0.9381707390229016,1.858177588051397
58-08-2,6.0,2519,0.9381707390229016,1.858177588051397
150-68-5,37.5,8800,0.9559359527033866,2.1347444799126247
150-68-5,37.5,8800,0.9559359527033866,2.1347444799126247
76-06-2,0.025,6423,0.8808272051314654,2.167294681352988
1897-45-6,0.5,15910,0.7220364585671222,2.246379522635998
1897-45-6,0.5,15910,0.7220364585671222,2.246379522635998
120-36-5,11.01,8427,0.9249281427082736,2.057949445241786
120-36-5,11.01,8427,0.9249281427082736,2.057949445241786
94-75-7,0.5,1486,0.9839717910280728,2.0576795589682537
94-75-7,0.5,1486,0.9839717910280728,2.0576795589682537
330-54-1,0.3,3120,0.9570812386106622,2.208230219637765
330-54-1,0.3,3120,0.9570812386106622,2.208230219637765
330-54-1,0.3,3120,0.9570812386106622,2.208230219637765
330-54-1,0.3,3120,0.9570812386106622,2.208230219637765
78-87-5,30.0,6564,0.9886932878335386,2.4458704688440056
756-79-6,250.0,12958,0.9813682510322816,2.464297210689411
756-79-6,250.0,12958,0.9813682510322816,2.464297210689411
120-61-6,4.0,8441,0.9247050762548812,2.097048028542655
120-61-6,4.0,8441,0.9247050762548812,2.097048028542655
51-28-5,10.0,1493,0.8417440288441087,1.6752108735525046
51-28-5,10.0,1493,0.8417440288441087,1.6752108735525046
121-14-2,4.0,8461,0.9349989158673788,2.0468629123287934
121-14-2,4.0,8461,0.9349989158673788,2.0468629123287934
50-28-2,0.005,5757,0.9284154851529932,2.133014916834157
50-28-2,0.005,5757,0.9284154851529932,2.133014916834157
50-28-2,0.005,5757,0.9284154851529932,2.133014916834157
140-67-0,37.5,8815,0.969223548086242,2.2645801628401547
140-67-0,37.5,8815,0.969223548086242,2.2645801628401547
106-87-6,40.0,7833,0.9866020331343376,2.3170601524948866
106-87-6,40.0,7833,0.9866020331343376,2.3170601524948866
103-23-1,465.0,7641,0.9452575016503024,2.2827398744232315
103-23-1,465.0,7641,0.9452575016503024,2.2827398744232315
149-91-7,300.0,370,0.8922830628427336,1.780340797524179
149-91-7,300.0,370,0.8922830628427336,1.780340797524179
149-91-7,300.0,370,0.8922830628427336,1.780340797524179
7632-00-0,12.5,23668193,0.9856902737667064,2.52352699223142
7632-00-0,12.5,23668193,0.9856902737667064,2.52352699223142
99-59-2,200.0,7447,0.966792012882501,2.0068131139394043
99-59-2,200.0,7447,0.966792012882501,2.0068131139394043
101-80-4,10.0,7579,0.9212952723261864,2.0519604686845865
101-80-4,10.0,7579,0.9212952723261864,2.0519604686845865
77-09-8,300.0,4764,0.8759844814142032,1.7615369119546087
