,feature,importance
1325,FP_1325,0.000513104013923548
145,FP_0145,0.0005097663214807151
1457,FP_1457,0.0005066092006269077
529,FP_0529,0.0005039041036462992
504,FP_0504,0.0005003819635047965
1754,FP_1754,0.000500033245005411
2131,DefinedBondStereoCount__dup2,0.0004961725189727536
1444,FP_1444,0.0004941596479908981
116,FP_0116,0.000493999443137851
319,FP_0319,0.000490064950632921
715,FP_0715,0.00048768877877897556
694,FP_0694,0.0004870146712207875
1391,FP_1391,0.0004830985245481921
202,FP_0202,0.0004813408345999339
1385,FP_1385,0.00047948687513938766
883,FP_0883,0.00047908944429199624
1028,FP_1028,0.0004702341841610412
739,FP_0739,0.0004685990537489746
881,FP_0881,0.0004685820614557935
251,FP_0251,0.0004616258458831519
1313,FP_1313,0.0004615461477697633
591,FP_0591,0.0004612400526729491
13,FP_0013,0.00045998089576732487
656,FP_0656,0.0004566950807207937
1866,FP_1866,0.00045358786780459113
1453,FP_1453,0.00045045682659288074
1066,FP_1066,0.00044809559415236156
1011,FP_1011,0.00044319997180053335
473,FP_0473,0.0004336546980171887
1440,FP_1440,0.0004302139582683327
1097,FP_1097,0.00042885722871735527
984,FP_0984,0.0004280853535992121
1536,FP_1536,0.00042670362777394856
1809,FP_1809,0.0004223221225206067
888,FP_0888,0.00042086795046791537
500,FP_0500,0.00041992081211583774
1073,FP_1073,0.0004194147722790498
1163,FP_1163,0.00041885864387208914
606,FP_0606,0.00041656840674230295
2132,DefinedBondStereoCount__dup3,0.0004143886502786701
1665,FP_1665,0.0004132176294573361
1063,FP_1063,0.00041163279264436664
268,FP_0268,0.00041139841865800024
1804,FP_1804,0.00040960553733793614
305,FP_0305,0.0004081208521943602
486,FP_0486,0.0004065003992535881
1991,FP_1991,0.0004055653642061054
147,FP_0147,0.00040282899702645335
1564,FP_1564,0.00039946355633327336
1323,FP_1323,0.0003963656427698506
1366,FP_1366,0.000395482503415077
119,FP_0119,0.00039429430452015476
1035,FP_1035,0.00039291201646821095
1436,FP_1436,0.00038715488693898836
1849,FP_1849,0.00038503471835536025
1309,FP_1309,0.00037851078982479024
910,FP_0910,0.0003774268961192042
231,FP_0231,0.0003726896110617043
1452,FP_1452,0.0003711525258245088
1814,FP_1814,0.0003663715161276763
932,FP_0932,0.000363037723198507
84,FP_0084,0.0003608889111409818
658,FP_0658,0.00035893898158059995
1921,FP_1921,0.00035799975865874565
1631,FP_1631,0.00035649893181341626
310,FP_0310,0.00035646865290042115
745,FP_0745,0.00035557954571181023
806,FP_0806,0.00035434655614220245
381,FP_0381,0.0003510405643587091
725,FP_0725,0.0003461034354566808
1831,FP_1831,0.00034216284703528216
352,FP_0352,0.0003413092744758532
961,FP_0961,0.00034090478392248715
1475,FP_1475,0.00033625606166177535
675,FP_0675,0.0003333566525694297
1573,FP_1573,0.00033143710068341936
728,FP_0728,0.00033124472577510605
1238,FP_1238,0.0003306240051552297
1844,FP_1844,0.00032987002086220873
2038,FP_2038,0.0003295527058728994
781,FP_0781,0.0003281426301828693
974,FP_0974,0.0003262327696568512
1145,FP_1145,0.00032526558082230495
2069,UndefinedBondStereoCount,0.0003252337485997219
1487,FP_1487,0.000324983394586285
699,FP_0699,0.000323676465468636
1823,FP_1823,0.0003231440414357338
1604,FP_1604,0.00032273972185420803
666,FP_0666,0.00032175743606628686
1386,FP_1386,0.0003215598161861473
562,FP_0562,0.00032133097645225796
1538,FP_1538,0.00031885301235156456
2070,UndefinedBondStereoCount__dup1,0.0003187066642525955
691,FP_0691,0.00031640391674359113
432,FP_0432,0.00031527192911229475
1249,FP_1249,0.00031489571210737604
1384,FP_1384,0.00031473880786141135
998,FP_0998,0.00031457840209742874
802,FP_0802,0.00031336923745312035
1087,FP_1087,0.0003115151337215211
1508,FP_1508,0.00030960381622630094
859,FP_0859,0.0003074451604879568
896,FP_0896,0.0003073952001066924
249,FP_0249,0.0003068896068648869
1729,FP_1729,0.00030607678952620674
2134,UndefinedBondStereoCount__dup3,0.0003050443879280757
1168,FP_1168,0.0003032723716923093
1243,FP_1243,0.00030311741299417146
674,FP_0674,0.00030097025634078694
1365,FP_1365,0.00030091635029449467
1778,FP_1778,0.0002986197154355059
1027,FP_1027,0.0002985842991677686
878,FP_0878,0.00029726182107170916
1049,FP_1049,0.0002959977272274385
1854,FP_1854,0.0002950283319467816
1985,FP_1985,0.0002939881908439791
1951,FP_1951,0.0002938165863204975
1726,FP_1726,0.0002927571779023198
192,FP_0192,0.00029189744720118765
408,FP_0408,0.0002914695581555427
2004,FP_2004,0.00028955042019136257
252,FP_0252,0.0002886974116049145
1447,FP_1447,0.00028683363280021317
931,FP_0931,0.0002862910535125402
667,FP_0667,0.0002858556895726324
1209,FP_1209,0.0002852912268975649
2000,FP_2000,0.00028431801183241573
1077,FP_1077,0.0002837207274020558
237,FP_0237,0.00028304830555703984
1992,FP_1992,0.00028289914868846077
531,FP_0531,0.0002797758176579693
143,FP_0143,0.00027826645600417723
401,FP_0401,0.000277661614593647
610,FP_0610,0.00027667148421748217
2068,DefinedBondStereoCount__dup1,0.00027531505645784934
981,FP_0981,0.00027515298461632453
362,FP_0362,0.00027402665170718157
1257,FP_1257,0.0002734514665647451
1047,FP_1047,0.0002723499952882136
864,FP_0864,0.00027138483976909514
2033,FP_2033,0.0002707464073828808
1840,FP_1840,0.0002695868667816922
755,FP_0755,0.00026692472516156793
