chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant,S_global_raw,S_potency_raw,S_global_flipped,S_potency_flipped,S_improved,S_ensemble,tcpl_binary_improved,tcpl_ternary_improved
379884.0,0,0,0.3,0.15,0.5,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.3,0.3,1,2
63235.0,0,0,0.1270833333333333,0.0458333333333333,0.2083333333333333,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1270833333333333,0.1270833333333333,1,0
369896.0,0,0,0.3999999999999999,0.15,0.75,0.0,3,"{'GENERAL': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'NEURO': {'n_tested': 4, 'n_positive': 1, 'score': 0.3}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1,,,,,0.3999999999999999,0.3999999999999999,1,2
59871.0,0,0,0.2479166666666666,0.1458333333333333,0.3791666666666666,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 4, 'score': 0.45}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.2479166666666666,0.2479166666666666,1,1
59926.0,0,0,0.0861111111111111,0.0416666666666666,0.1666666666666666,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1,,,,,0.0861111111111111,0.0861111111111111,1,0
59969.0,0,0,0.2125,0.1041666666666666,0.3249999999999999,0.0,4,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 9, 'n_positive': 3, 'score': 0.35}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.2125,0.2125,1,1
379991.0,0,0,0.2666666666666666,0.05,0.5,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.2666666666666666,0.2666666666666666,1,2
40150.0,0,0,0.2305555555555555,0.0416666666666666,0.5,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.2305555555555555,0.2305555555555555,1,1
59920.0,0,0,0.3458333333333333,0.0999999999999999,0.6875,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 2, 'score': 0.8333333333333334}}",1,1,,,,,0.3458333333333333,0.3458333333333333,1,2
337446.0,0,0,0.2129629629629629,0.0555555555555555,0.4166666666666667,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 2, 'score': 0.4166666666666667}, 'GENERAL': {'n_tested': 8, 'n_positive': 0, 'score': 0.05555555555555555}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.2129629629629629,0.2129629629629629,1,1
