Sample_CID,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,class_x,y
12813,30,170.2491,-0.355448,47,0.078297,0.433745,8.33,36.91,26.38,4.69,19.0775,13.17035948,28,6.976,5.39,7.034,13.887,0.52780206,0.99534117,0.754153,2.934533,5.717862,22.496965,225.7087,1649.01685,1.1569,-50.96537,26.67165,872.17237,623.62516,248.54722,0.0036229,0.01670514,-0.02920151,0.00093426,0.13378112,0.01910037,0.55147375,53.36,46.64,11.97301,16.7932,0.50656848,0.00095644,-46.12894,-20.18007,-1.016706,0.042894,2.7,26.3,143,0,2,5,12,1,0,1,0,0,0,1,1,1
6597,8,128.94204,-0.385173,32,0.023454,0.408626,44.83,36.86,20.12,28.81,32.655,9.189979597,8,3.761,5.355,6.306,7.368,0.387198487,0.979526722,0.654915,2.300522,3.483564,6.52668,62.4788,794.06741,1.8196,-38.45125,72.0825,466.49025,198.90389,267.58636,0.00184592,0.0304246,-0.01939735,0.00101568,0.18976773,0.02442623,0.65577238,47.99,52.01,12.47013,18.89597,0.52284985,0.00284912,-47.09713,-15.38877,-0.9135704,0.111667,0.9,37.3,60,1,2,1,6,0,0,0,0,0,0,1,0,0
4929,35,241.35654,-0.308218,65,0.040436,0.348654,18.85,15.08,14.71,14.07,15.6775,1.866941014,34,6.417,6.329,11.246,12.421,0.414088545,0.967819854,0.961863,3.930715,4.012993,19.462395,168.9885,2131.22423,1.269,-45.76788,38.82819,1077.15438,652.63122,424.52315,-0.0005821,0.01445061,-0.0236923,0.00042995,0.1848855,0.01822279,0.49233286,56.88,43.12,9.90674,16.24526,0.49897293,0.00177556,-41.20106,-13.65744,-0.9459975,0.038941,3.5,88,182,2,6,5,16,0,0,0,0,0,0,1,1,12
8192,38,204.78029,-0.360226,57,0.114071,0.474297,33.19,7.32,32.74,3.61,19.215,13.81333866,38,9.646,4.319,4.815,19.284,0.678583996,0.99958532,0.702216,1.881467,2.879522,28.458074,501.519,2139.91058,1.0724,-20.54275,20.30243,1114.61287,855.6093,259.00357,0.00421792,0.00981906,-0.01428524,0.00019969,0.16859727,0.00917784,0.29543036,79.09,20.91,11.7126,16.20936,0.49194127,0.00099248,-35.8889,-16.15475,-0.9038702,0.020243,6.9,0,81,0,0,10,13,0,0,0,0,0,0,1,1,6
4843,20,142.15604,-0.317873,38,0.090204,0.408077,38.91,19,16,15.17,22.27,9.712175348,19,4.918,5.584,7.036,9.75,0.435851587,0.991256608,0.82585,2.891527,7.882636,20.527491,88.2582,1176.25011,1.3543,-64.04164,62.87502,643.16967,401.54244,241.62724,-0.00088527,0.02981519,-0.05190411,0.00150588,0.21178636,0.03833968,1.03712373,26.58,73.42,11.68924,17.60431,0.51915044,0.00184573,-46.89501,-19.53027,-1.0866211,0.063408,-1.3,63.4,167,1,2,2,10,0,0,0,0,0,0,1,0,0
548353,16,122.25193,-0.32069,33,0.097806,0.418495,50.01,48.3,23.08,25.31,36.675,12.51948581,14,4.01,5.684,6.88,7.067,0.35999185,0.88117207,0.940247,3.274228,3.157893,7.589446,48.5271,1118.39561,1.2249,-25.93425,27.46961,577.48239,344.87566,232.60673,0.00360282,0.0196139,-0.0201361,0.00027129,0.24999508,0.01932282,0.53944495,41.7,58.3,9.76022,15.92307,0.47914007,0.00267929,-33.60222,-13.76243,-0.7737307,0.025259,1.7,2,30,2,2,1,6,2,0,2,0,0,0,1,0,0
9889168,84,435.15052,-0.033597,122,0.123267,0.156864,21.3,8.07,5.44,4.03,9.71,6.846769311,75,9.402,9.119,11.771,17.944,0.462069321,0.95426505,1.448213,6.686485,3.077402,12.232373,140.7693,4390.10625,1.1107,-42.91295,14.88185,1939.9324,1287.33066,652.60174,0.00179695,0.00756197,-0.00957522,0.00022755,0.09959841,0.0078088,0.22420101,90.25,9.75,2.28621,16.26443,0.47290656,0.00520861,-37.45168,-20.02087,-0.9626527,0.012317,2.4,0,252,0,1,22,28,0,0,0,0,0,0,2,1,56
36324,45,293.40673,-0.281206,79,0.040556,0.321762,6.13,6.72,14.67,7.05,8.6425,3.495549849,38,8.776,7.913,8.75,17.523,0.512578248,0.998347767,1.477974,5.095093,6.505896,4.601937,174.117,2709.92893,1.2133,-76.29223,33.61486,1350.73582,664.06267,686.67315,-0.00379366,0.01729962,-0.02419238,0.00082155,0.2104149,0.0211313,0.56609729,56.64,43.36,10.85828,17.69662,0.49872552,0.00160142,-42.57713,-19.41371,-1.0146741,0.038212,5.5,28,354,0,2,4,22,0,0,0,0,0,0,1,1,24
7091,20,160.16969,-0.275467,42,0.022774,0.298241,9.82,10.15,9.18,10.26,9.8525,0.420676538,20,5.182,3.401,7.382,10.115,0.484017609,0.975974527,0.000484,0.001905,3.176982,14.998749,50.0343,1280.43864,1.4017,-31.27651,71.12273,667.74157,292.01825,375.72332,-0.00099621,0.02407737,-0.0204838,0.0006968,0.16350822,0.02194221,0.60015654,44.56,55.44,10.96231,18.8668,0.50645434,0.00322809,-46.71283,-19.44879,-1.1580925,0.068149,2.5,40.5,140,2,2,0,12,0,0,0,0,0,0,1,1,4
2734231,62,342.99075,-0.071621,95,0.041376,0.112998,14.96,9.63,21.58,23.26,17.3575,5.434410617,62,11.549,7.474,7.834,22.999,0.600386352,0.995713915,1.151579,4.935139,35.594375,208.099284,3312.834,3341.93466,1.1501,-101.86594,91.00442,1575.89768,536.67089,1039.2268,-0.0083009,0.08236297,-0.05512095,0.00256571,0.2459613,0.06186954,1.75236419,6.97,93.03,3.28343,18.84195,0.46973358,0.01162327,-37.36989,-18.56716,-0.961387,0.015888,2.4,8.8,230,0,1,15,23,0,0,0,0,0,0,2,1,54
