mean_predicted_value,fraction_of_positives
0.16245893647272472,0.0136986301369863
0.25046353291946677,0.06875
0.35086521262434267,0.1218274111675127
0.4555031972048225,0.352
0.5592677429546437,0.6892857142857143
0.6430595314784511,0.8556149732620321
0.7558581958658684,0.9829787234042553
0.8123492319238739,1.0
