fpr,tpr
0.0,0.0
0.0,0.001388888888888889
0.0,0.005555555555555556
0.0,0.006944444444444444
0.0,0.009722222222222222
0.0,0.015277777777777777
0.0,0.018055555555555554
0.0,0.02361111111111111
0.0,0.03888888888888889
0.0,0.04027777777777778
0.0,0.0625
0.0,0.06388888888888888
0.0,0.06666666666666667
0.0,0.06805555555555555
0.0,0.07916666666666666
0.0,0.08888888888888889
0.0,0.09166666666666666
0.0,0.09583333333333334
0.0,0.1
0.0,0.10138888888888889
0.0,0.11527777777777778
0.0,0.11805555555555555
0.0,0.11944444444444445
0.0013404825737265416,0.12222222222222222
0.0013404825737265416,0.12361111111111112
0.0013404825737265416,0.14027777777777778
0.0013404825737265416,0.14166666666666666
0.0013404825737265416,0.14583333333333334
0.0013404825737265416,0.15
0.0013404825737265416,0.1527777777777778
0.0013404825737265416,0.15416666666666667
0.0013404825737265416,0.15694444444444444
0.0013404825737265416,0.16527777777777777
0.0013404825737265416,0.1736111111111111
0.0013404825737265416,0.1763888888888889
0.0013404825737265416,0.18055555555555555
0.002680965147453083,0.18194444444444444
0.002680965147453083,0.19027777777777777
0.002680965147453083,0.19305555555555556
0.002680965147453083,0.20972222222222223
0.002680965147453083,0.2125
0.002680965147453083,0.2152777777777778
0.002680965147453083,0.21944444444444444
0.002680965147453083,0.22083333333333333
0.002680965147453083,0.22361111111111112
0.002680965147453083,0.2263888888888889
0.004021447721179625,0.22777777777777777
0.004021447721179625,0.24305555555555555
0.004021447721179625,0.24583333333333332
0.004021447721179625,0.25
0.005361930294906166,0.25
0.005361930294906166,0.25416666666666665
0.005361930294906166,0.25972222222222224
0.005361930294906166,0.2652777777777778
0.005361930294906166,0.26805555555555555
0.005361930294906166,0.27361111111111114
0.005361930294906166,0.2791666666666667
0.005361930294906166,0.2972222222222222
0.005361930294906166,0.30416666666666664
0.005361930294906166,0.31527777777777777
0.005361930294906166,0.31805555555555554
0.005361930294906166,0.3277777777777778
0.005361930294906166,0.33055555555555555
0.005361930294906166,0.33194444444444443
0.005361930294906166,0.3347222222222222
0.005361930294906166,0.3416666666666667
0.006702412868632708,0.3458333333333333
0.006702412868632708,0.35138888888888886
0.006702412868632708,0.3541666666666667
0.006702412868632708,0.3680555555555556
0.006702412868632708,0.37083333333333335
0.006702412868632708,0.3736111111111111
0.00804289544235925,0.3736111111111111
0.00804289544235925,0.3763888888888889
0.00804289544235925,0.38333333333333336
0.00938337801608579,0.38333333333333336
0.00938337801608579,0.3861111111111111
0.00938337801608579,0.3888888888888889
0.00938337801608579,0.39166666666666666
0.010723860589812333,0.39166666666666666
0.010723860589812333,0.3972222222222222
0.010723860589812333,0.4
0.012064343163538873,0.4
0.012064343163538873,0.4027777777777778
0.013404825737265416,0.4041666666666667
0.013404825737265416,0.40694444444444444
0.013404825737265416,0.4097222222222222
0.013404825737265416,0.41388888888888886
0.014745308310991957,0.41388888888888886
0.014745308310991957,0.4166666666666667
0.0160857908847185,0.4166666666666667
0.0160857908847185,0.4222222222222222
0.0160857908847185,0.425
0.0160857908847185,0.4305555555555556
0.01742627345844504,0.4305555555555556
0.01742627345844504,0.4361111111111111
0.01876675603217158,0.4361111111111111
0.020107238605898123,0.44027777777777777
0.020107238605898123,0.44722222222222224
0.021447721179624665,0.44722222222222224
0.021447721179624665,0.4486111111111111
0.022788203753351208,0.45
0.022788203753351208,0.4527777777777778
0.022788203753351208,0.4583333333333333
0.024128686327077747,0.4583333333333333
0.024128686327077747,0.4666666666666667
0.02546916890080429,0.4666666666666667
0.02546916890080429,0.46944444444444444
0.02546916890080429,0.4722222222222222
0.028150134048257374,0.4722222222222222
0.028150134048257374,0.4736111111111111
0.029490616621983913,0.4736111111111111
0.029490616621983913,0.4777777777777778
0.030831099195710455,0.4777777777777778
0.030831099195710455,0.48055555555555557
0.030831099195710455,0.48333333333333334
0.030831099195710455,0.4930555555555556
0.032171581769437,0.4930555555555556
0.032171581769437,0.49722222222222223
0.03351206434316354,0.49722222222222223
0.03351206434316354,0.5
0.03351206434316354,0.5097222222222222
0.03485254691689008,0.5097222222222222
0.03485254691689008,0.5138888888888888
0.036193029490616625,0.5138888888888888
0.036193029490616625,0.5236111111111111
0.03753351206434316,0.5236111111111111
0.03753351206434316,0.5291666666666667
0.0388739946380697,0.5291666666666667
0.0388739946380697,0.5347222222222222
0.0388739946380697,0.5375
0.0388739946380697,0.5444444444444444
0.04155495978552279,0.5444444444444444
0.04155495978552279,0.5458333333333333
0.04155495978552279,0.5569444444444445
0.04155495978552279,0.5583333333333333
0.04289544235924933,0.5583333333333333
0.04289544235924933,0.5611111111111111
0.04423592493297587,0.5611111111111111
0.04423592493297587,0.5625
0.04423592493297587,0.5847222222222223
0.04423592493297587,0.5875
0.04423592493297587,0.5902777777777778
0.04423592493297587,0.5958333333333333
0.045576407506702415,0.5958333333333333
0.045576407506702415,0.6013888888888889
0.045576407506702415,0.6097222222222223
0.05227882037533512,0.6208333333333333
0.05227882037533512,0.6263888888888889
0.05227882037533512,0.6319444444444444
0.05361930294906166,0.6319444444444444
0.054959785522788206,0.6333333333333333
0.054959785522788206,0.6375
0.05630026809651475,0.6402777777777777
0.057640750670241284,0.6458333333333334
0.057640750670241284,0.6513888888888889
0.058981233243967826,0.6513888888888889
0.058981233243967826,0.6555555555555556
0.06032171581769437,0.6555555555555556
0.06032171581769437,0.6597222222222222
0.06032171581769437,0.6652777777777777
0.06032171581769437,0.6680555555555555
0.06166219839142091,0.6680555555555555
0.06166219839142091,0.6694444444444444
0.06166219839142091,0.6722222222222223
0.06300268096514745,0.6722222222222223
0.06300268096514745,0.6736111111111112
0.064343163538874,0.6736111111111112
0.064343163538874,0.675
0.06568364611260054,0.6763888888888889
0.06702412868632708,0.6763888888888889
0.06702412868632708,0.6833333333333333
0.06702412868632708,0.6861111111111111
0.06702412868632708,0.6875
0.06836461126005362,0.6888888888888889
0.06836461126005362,0.6902777777777778
0.06970509383378017,0.6902777777777778
0.06970509383378017,0.6972222222222222
0.07238605898123325,0.6972222222222222
0.07238605898123325,0.6986111111111111
0.07372654155495978,0.6986111111111111
0.07372654155495978,0.7027777777777777
0.0777479892761394,0.7027777777777777
0.0777479892761394,0.7055555555555556
0.0777479892761394,0.7083333333333334
0.07908847184986595,0.7083333333333334
0.08042895442359249,0.7097222222222223
0.08042895442359249,0.7111111111111111
0.08176943699731903,0.7111111111111111
0.08176943699731903,0.7152777777777778
0.08310991957104558,0.7152777777777778
0.08310991957104558,0.7222222222222222
0.08445040214477212,0.7236111111111111
0.08445040214477212,0.7333333333333333
0.08579088471849866,0.7333333333333333
0.08579088471849866,0.7347222222222223
0.08847184986595175,0.7347222222222223
0.08847184986595175,0.7361111111111112
0.09115281501340483,0.7361111111111112
0.09249329758713137,0.7361111111111112
0.09249329758713137,0.7416666666666667
0.09651474530831099,0.7416666666666667
0.09919571045576407,0.7430555555555556
0.09919571045576407,0.7458333333333333
0.10053619302949061,0.7458333333333333
0.10187667560321716,0.7472222222222222
0.10187667560321716,0.7486111111111111
0.10455764075067024,0.7486111111111111
0.10455764075067024,0.7513888888888889
0.10589812332439678,0.7513888888888889
0.10857908847184987,0.7527777777777778
0.10857908847184987,0.7555555555555555
0.10991957104557641,0.7555555555555555
0.10991957104557641,0.7638888888888888
0.11126005361930295,0.7638888888888888
0.11126005361930295,0.7694444444444445
0.1126005361930295,0.7694444444444445
0.1126005361930295,0.7708333333333334
0.11394101876675604,0.7708333333333334
0.11394101876675604,0.775
0.11796246648793565,0.775
0.11796246648793565,0.7763888888888889
0.1193029490616622,0.7763888888888889
0.1193029490616622,0.7777777777777778
0.12332439678284182,0.7777777777777778
0.12332439678284182,0.7791666666666667
0.12466487935656836,0.7791666666666667
0.12466487935656836,0.7833333333333333
0.1260053619302949,0.7833333333333333
0.1260053619302949,0.7847222222222222
0.128686327077748,0.7847222222222222
0.128686327077748,0.7902777777777777
0.13002680965147453,0.7902777777777777
0.13002680965147453,0.7930555555555555
0.13136729222520108,0.7930555555555555
0.13136729222520108,0.7944444444444444
0.13270777479892762,0.7944444444444444
0.13270777479892762,0.7972222222222223
0.1380697050938338,0.7972222222222223
0.1380697050938338,0.7986111111111112
0.14075067024128687,0.7986111111111112
0.14075067024128687,0.8
0.1447721179624665,0.8
0.1447721179624665,0.8027777777777778
0.14611260053619302,0.8027777777777778
0.14745308310991956,0.8041666666666667
0.14745308310991956,0.8069444444444445
0.1487935656836461,0.8069444444444445
0.1487935656836461,0.8097222222222222
0.15013404825737264,0.8097222222222222
0.15013404825737264,0.8125
0.15147453083109919,0.8125
0.15281501340482573,0.8152777777777778
0.15415549597855227,0.8166666666666667
0.15683646112600536,0.8166666666666667
0.15683646112600536,0.8222222222222222
0.1581769436997319,0.8222222222222222
0.1581769436997319,0.8263888888888888
0.16085790884718498,0.8263888888888888
0.16085790884718498,0.8305555555555556
0.16353887399463807,0.8305555555555556
0.16353887399463807,0.8319444444444445
0.1648793565683646,0.8319444444444445
0.1648793565683646,0.8333333333333334
0.1675603217158177,0.8333333333333334
