,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,Cohen_Kappa,Log_Loss,ROC_AUC,PR_AUC
MLP,0.8021828103683493,0.8018785373845696,0.8023123155060649,0.8021828103683493,0.8020980463143675,0.6042748092460107,0.6040494728607086,1.1000385925517786,0.8893543342269884,0.8921479945612898
Random Forest,0.8560709413369714,0.856086163240989,0.856104925537905,0.8560709413369714,0.8560779746341557,0.7121027264554894,0.7120861528151381,0.35275831536135216,0.9343480041703903,0.933088153779581
XGBoost,0.8356070941336972,0.8354706583258862,0.8356098600558499,0.8356070941336972,0.8355894155597722,0.6710856395720054,0.6710550082025366,0.4069359472406318,0.9220863121834972,0.9189237466415683
AdaBoost,0.8342428376534788,0.8341059725945785,0.8342452478300172,0.8342428376534788,0.834225012369397,0.6683556810075822,0.6683251742457111,0.4790928958039536,0.9141085790884718,0.9131042718593585
Logistic,0.819918144611187,0.8196678582067323,0.820000989582367,0.819918144611187,0.8198617902022941,0.6397360339995288,0.6395833954167536,0.3996749268414888,0.9048220137027108,0.9033944533827929
SVM,0.8308321964529332,0.8311178135239797,0.8314297965946487,0.8308321964529332,0.8308277884831857,0.6622701520100133,0.6617871415707258,0.39007536935211556,0.9091581024724456,0.9065413196782924
NaiveBayes,0.7066848567530696,0.7047773309502532,0.7146705333422232,0.7066848567530696,0.7030291146623506,0.4200065885106736,0.4110469570416877,10.292306974260077,0.7643217530533215,0.7144953167574951
KNN,0.7796725784447476,0.7779211349419124,0.7894072502795554,0.7796725784447476,0.7772911582131898,0.5681035860621033,0.5577185683889612,0.7680915984050478,0.8740709711051534,0.8676561217540772
