precision,recall
0.49113233287858116,1.0
0.4972183588317107,0.9930555555555556
0.4979108635097493,0.9930555555555556
0.49825783972125437,0.9930555555555556
0.49860529986053,0.9930555555555556
0.4982554082344731,0.9916666666666667
0.49860335195530725,0.9916666666666667
0.4989517819706499,0.9916666666666667
0.4986013986013986,0.9902777777777778
0.4989503149055283,0.9902777777777778
0.4992997198879552,0.9902777777777778
0.49964961457603363,0.9902777777777778
0.5,0.9902777777777778
0.5003508771929824,0.9902777777777778
0.5007022471910112,0.9902777777777778
0.500351370344343,0.9888888888888889
0.5007032348804501,0.9888888888888889
0.5010555946516537,0.9888888888888889
0.5014084507042254,0.9888888888888889
0.5017618040873855,0.9888888888888889
0.5021156558533145,0.9888888888888889
0.502470007057163,0.9888888888888889
0.5028248587570622,0.9888888888888889
0.5031802120141343,0.9888888888888889
0.5035360678925035,0.9888888888888889
0.5038924274593064,0.9888888888888889
0.5042492917847026,0.9888888888888889
0.5038979447200567,0.9875
0.5042553191489362,0.9875
0.5046132008516678,0.9875
0.5049715909090909,0.9875
0.5053304904051172,0.9875
0.5049786628733998,0.9861111111111112
0.505338078291815,0.9861111111111112
0.5056980056980057,0.9861111111111112
0.5060584461867427,0.9861111111111112
0.5057061340941512,0.9847222222222223
0.5060670949321913,0.9847222222222223
0.5064285714285715,0.9847222222222223
0.5067905646890636,0.9847222222222223
0.5071530758226037,0.9847222222222223
0.5075161059413028,0.9847222222222223
0.5078796561604585,0.9847222222222223
0.5082437275985663,0.9847222222222223
0.5086083213773315,0.9847222222222223
0.5089734386216799,0.9847222222222223
0.5093390804597702,0.9847222222222223
0.509705248023005,0.9847222222222223
0.5100719424460431,0.9847222222222223
0.5104391648668106,0.9847222222222223
0.510806916426513,0.9847222222222223
0.5111751982696467,0.9847222222222223
0.5115440115440115,0.9847222222222223
0.5111913357400723,0.9833333333333333
0.5115606936416185,0.9833333333333333
0.5119305856832972,0.9833333333333333
0.5123010130246021,0.9833333333333333
0.5126719768283853,0.9833333333333333
0.5130434782608696,0.9833333333333333
0.5134155184916607,0.9833333333333333
0.5130624092888244,0.9819444444444444
0.5134350036310821,0.9819444444444444
0.5138081395348837,0.9819444444444444
0.5141818181818182,0.9819444444444444
0.5145560407569141,0.9819444444444444
0.5149308084486526,0.9819444444444444
0.5153061224489796,0.9819444444444444
0.5149525893508388,0.9805555555555555
0.5153284671532846,0.9805555555555555
0.5157048940832725,0.9805555555555555
0.5160818713450293,0.9805555555555555
0.5164594001463058,0.9805555555555555
0.5168374816983895,0.9805555555555555
0.5172161172161173,0.9805555555555555
0.5175953079178885,0.9805555555555555
0.5179750550256786,0.9805555555555555
0.5183553597650514,0.9805555555555555
0.5187362233651727,0.9805555555555555
0.5191176470588236,0.9805555555555555
0.5194996320824136,0.9805555555555555
0.5198821796759941,0.9805555555555555
0.5202652910832719,0.9805555555555555
0.5206489675516224,0.9805555555555555
0.5210332103321034,0.9805555555555555
0.5206794682422452,0.9791666666666666
0.5210643015521065,0.9791666666666666
0.5214497041420119,0.9791666666666666
0.5210954848260547,0.9777777777777777
0.5214814814814814,0.9777777777777777
0.5218680504077094,0.9777777777777777
0.5222551928783383,0.9777777777777777
0.5226429101707498,0.9777777777777777
0.5230312035661219,0.9777777777777777
0.5234200743494424,0.9777777777777777
0.5230654761904762,0.9763888888888889
0.5234549516008935,0.9763888888888889
0.5238450074515648,0.9763888888888889
0.5242356450410142,0.9763888888888889
0.5246268656716417,0.9763888888888889
0.5250186706497386,0.9763888888888889
0.5254110612855007,0.9763888888888889
0.5258040388930442,0.9763888888888889
0.5261976047904192,0.9763888888888889
0.5265917602996255,0.9763888888888889
0.5269865067466267,0.9763888888888889
0.5273818454613654,0.9763888888888889
0.5277777777777778,0.9763888888888889
0.5281743050338091,0.9763888888888889
0.5285714285714286,0.9763888888888889
0.5289691497366441,0.9763888888888889
0.5293674698795181,0.9763888888888889
0.5297663903541824,0.9763888888888889
0.5294117647058824,0.975
0.5298113207547169,0.975
0.5302114803625377,0.975
0.5306122448979592,0.975
0.5310136157337367,0.975
0.5314155942467828,0.975
0.5318181818181819,0.975
0.5322213798332069,0.975
0.5326251896813353,0.975
0.5330296127562643,0.975
0.5334346504559271,0.975
0.5338403041825095,0.975
0.5342465753424658,0.975
0.5346534653465347,0.975
0.5350609756097561,0.975
0.5354691075514875,0.975
0.5358778625954198,0.975
0.5362872421695951,0.975
0.536697247706422,0.975
0.5363427697016068,0.9736111111111111
0.5367534456355283,0.9736111111111111
0.5371647509578544,0.9736111111111111
0.5375766871165644,0.9736111111111111
0.5379892555640828,0.9736111111111111
0.5384024577572964,0.9736111111111111
0.5380476556495004,0.9722222222222222
0.5384615384615384,0.9722222222222222
0.5388760585065435,0.9722222222222222
0.5385208012326657,0.9708333333333333
0.5389360061680802,0.9708333333333333
0.5393518518518519,0.9708333333333333
0.5397683397683398,0.9708333333333333
0.5394126738794436,0.9694444444444444
0.539829853054911,0.9694444444444444
0.5402476780185759,0.9694444444444444
0.5398915569326104,0.9680555555555556
0.5403100775193799,0.9680555555555556
0.5407292474786657,0.9680555555555556
0.5411490683229814,0.9680555555555556
0.5415695415695416,0.9680555555555556
0.5419906687402799,0.9680555555555556
0.5416342412451361,0.9666666666666667
0.5420560747663551,0.9666666666666667
0.5424785658612626,0.9666666666666667
0.5421216848673946,0.9652777777777778
0.5425448868071819,0.9652777777777778
0.54296875,0.9652777777777778
0.5433932759968726,0.9652777777777778
0.543035993740219,0.9638888888888889
0.543461237274863,0.9638888888888889
0.5438871473354232,0.9638888888888889
0.5443137254901961,0.9638888888888889
0.5447409733124019,0.9638888888888889
0.5451688923802043,0.9638888888888889
0.5455974842767296,0.9638888888888889
0.5452399685287176,0.9625
0.5448818897637795,0.9611111111111111
0.5445232466509062,0.9597222222222223
0.5449526813880127,0.9597222222222223
0.5453827940015785,0.9597222222222223
0.5458135860979463,0.9597222222222223
0.5454545454545454,0.9583333333333334
0.5450949367088608,0.9569444444444445
0.5455265241488519,0.9569444444444445
0.5451664025356577,0.9555555555555556
0.5455987311657414,0.9555555555555556
0.546031746031746,0.9555555555555556
0.5464654487688642,0.9555555555555556
0.5461049284578696,0.9541666666666667
0.5465393794749404,0.9541666666666667
0.5461783439490446,0.9527777777777777
0.546613545816733,0.9527777777777777
0.5462519936204147,0.9513888888888888
0.5466879489225858,0.9513888888888888
0.5463258785942492,0.95
0.5467625899280576,0.95
0.5472,0.95
0.5468374699759808,0.9486111111111111
0.5472756410256411,0.9486111111111111
0.5477145148356054,0.9486111111111111
0.5481540930979133,0.9486111111111111
0.5485943775100401,0.9486111111111111
0.5490353697749196,0.9486111111111111
0.5494770716009654,0.9486111111111111
0.5499194847020934,0.9486111111111111
0.5503626107977437,0.9486111111111111
0.5508064516129032,0.9486111111111111
0.5512510088781275,0.9486111111111111
0.5508885298869144,0.9472222222222222
0.5513338722716249,0.9472222222222222
0.551779935275081,0.9472222222222222
0.5522267206477732,0.9472222222222222
0.5518638573743923,0.9458333333333333
0.5523114355231143,0.9458333333333333
0.5527597402597403,0.9458333333333333
0.553208773354996,0.9458333333333333
0.5536585365853659,0.9458333333333333
0.5541090317331163,0.9458333333333333
0.5545602605863192,0.9458333333333333
0.5550122249388753,0.9458333333333333
0.5546492659053833,0.9444444444444444
0.5551020408163265,0.9444444444444444
0.5555555555555556,0.9444444444444444
0.5560098119378577,0.9444444444444444
0.5564648117839607,0.9444444444444444
0.556920556920557,0.9444444444444444
0.5573770491803278,0.9444444444444444
0.5578342904019689,0.9444444444444444
0.5574712643678161,0.9430555555555555
0.5579293344289236,0.9430555555555555
0.5583881578947368,0.9430555555555555
0.5588477366255145,0.9430555555555555
0.5593080724876441,0.9430555555555555
0.5589447650453421,0.9416666666666667
0.5594059405940595,0.9416666666666667
0.5598678777869529,0.9416666666666667
0.5603305785123966,0.9416666666666667
0.5607940446650124,0.9416666666666667
0.5612582781456954,0.9416666666666667
0.5617232808616405,0.9416666666666667
0.5621890547263682,0.9416666666666667
0.562655601659751,0.9416666666666667
0.5631229235880398,0.9416666666666667
0.5635910224438903,0.9416666666666667
0.5640599001663894,0.9416666666666667
0.5645295587010825,0.9416666666666667
0.565,0.9416666666666667
0.5654712260216848,0.9416666666666667
0.5659432387312187,0.9416666666666667
0.5655806182121972,0.9402777777777778
0.5660535117056856,0.9402777777777778
0.5665271966527197,0.9402777777777778
0.567001675041876,0.9402777777777778
0.567476948868399,0.9402777777777778
0.5679530201342282,0.9402777777777778
0.5675902602854744,0.9388888888888889
0.5680672268907563,0.9388888888888889
0.5685449957947856,0.9388888888888889
0.569023569023569,0.9388888888888889
0.569502948609941,0.9388888888888889
0.5699831365935919,0.9388888888888889
0.570464135021097,0.9388888888888889
0.5709459459459459,0.9388888888888889
0.5714285714285714,0.9388888888888889
0.571912013536379,0.9388888888888889
0.5723962743437765,0.9388888888888889
0.5728813559322034,0.9388888888888889
0.5733672603901612,0.9388888888888889
0.5738539898132428,0.9388888888888889
0.5743415463041631,0.9388888888888889
0.5748299319727891,0.9388888888888889
0.574468085106383,0.9375
0.5749574105621805,0.9375
0.5754475703324808,0.9375
0.5750853242320819,0.9361111111111111
0.5755764304013663,0.9361111111111111
0.576068376068376,0.9361111111111111
0.5765611633875107,0.9361111111111111
0.5761986301369864,0.9347222222222222
0.5766923736075407,0.9347222222222222
0.5771869639794168,0.9347222222222222
0.5776824034334764,0.9347222222222222
0.5781786941580757,0.9347222222222222
0.5786758383490972,0.9347222222222222
0.5791738382099828,0.9347222222222222
0.5788113695090439,0.9333333333333333
0.5793103448275863,0.9333333333333333
0.5798101811906816,0.9333333333333333
0.5803108808290155,0.9333333333333333
0.5808124459809854,0.9333333333333333
0.5813148788927336,0.9333333333333333
0.5818181818181818,0.9333333333333333
0.5823223570190641,0.9333333333333333
0.5828274067649609,0.9333333333333333
0.5833333333333334,0.9333333333333333
0.5838401390095569,0.9333333333333333
0.5843478260869566,0.9333333333333333
0.5839860748476936,0.9319444444444445
0.5844947735191638,0.9319444444444445
0.5850043591979076,0.9319444444444445
0.5855148342059336,0.9319444444444445
0.5860262008733624,0.9319444444444445
0.5865384615384616,0.9319444444444445
0.5870516185476815,0.9319444444444445
0.5875656742556917,0.9319444444444445
0.5880806310254163,0.9319444444444445
0.5885964912280702,0.9319444444444445
0.5891132572431957,0.9319444444444445
0.5896309314586995,0.9319444444444445
0.5901495162708883,0.9319444444444445
0.590669014084507,0.9319444444444445
0.5911894273127754,0.9319444444444445
0.591710758377425,0.9319444444444445
0.5913503971756399,0.9305555555555556
0.5909893992932862,0.9291666666666667
0.5906277630415562,0.9277777777777778
0.5902654867256637,0.9263888888888889
0.5907883082373782,0.9263888888888889
0.5904255319148937,0.925
0.59094942324756,0.925
0.5905861456483126,0.9236111111111112
0.5902222222222222,0.9222222222222223
0.5898576512455516,0.9208333333333333
0.5903829029385574,0.9208333333333333
0.5909090909090909,0.9208333333333333
0.5914362176628011,0.9208333333333333
0.5910714285714286,0.9194444444444444
0.5907059874888293,0.9180555555555555
0.5912343470483006,0.9180555555555555
0.5917636526410027,0.9180555555555555
0.5922939068100358,0.9180555555555555
0.5928251121076233,0.9180555555555555
0.5933572710951526,0.9180555555555555
0.5938903863432166,0.9180555555555555
